epoch,acc,loss,lr,val_acc,val_loss
0,0.9364444613456726,0.17150457203388214,0.001,0.8765550255775452,0.3415960669517517
1,0.9380000233650208,0.17733429372310638,0.001,0.8947368264198303,0.25343531370162964
2,0.9304444193840027,0.1989523321390152,0.001,0.9043062329292297,0.2590179443359375
3,0.9395555257797241,0.16923494637012482,0.001,0.9330143332481384,0.1938379555940628
4,0.9275555610656738,0.2059955596923828,0.001,0.880382776260376,0.39996930956840515
5,0.9311110973358154,0.19491179287433624,0.001,0.9129186868667603,0.2529948353767395
6,0.9208889007568359,0.22877417504787445,0.001,0.7913875579833984,0.7604413032531738
7,0.9531111121177673,0.1348440945148468,0.001,0.821052610874176,0.631378710269928
8,0.9344444274902344,0.19010379910469055,0.001,0.860287070274353,0.5116618275642395
9,0.9646666646003723,0.09780396521091461,0.000100000005,0.8918660283088684,0.3507828116416931
10,0.9626666903495789,0.09516400098800659,0.000100000005,0.8784688711166382,0.43101662397384644
11,0.9708889126777649,0.07811705768108368,0.000100000005,0.8794258236885071,0.40847042202949524
12,0.9733333587646484,0.07561444491147995,0.000100000005,0.8851674795150757,0.3424169719219208
13,0.9773333072662354,0.07066768407821655,0.000100000005,0.8947368264198303,0.3269616961479187
14,0.9702222347259521,0.07808204740285873,1.0000001e-05,0.8870813250541687,0.3216054439544678
15,0.9704444408416748,0.07398675382137299,1.0000001e-05,0.8889952301979065,0.324992299079895
16,0.9746666550636292,0.07136493176221848,1.0000001e-05,0.8832535743713379,0.34870657324790955
17,0.9737777709960938,0.07436245679855347,1.0000001e-05,0.8909090757369995,0.2975412905216217
18,0.9748888611793518,0.0684085413813591,1.0000001e-05,0.8889952301979065,0.3191663324832916
19,0.972000002861023,0.0774247944355011,1.0000001e-06,0.8889952301979065,0.3223203122615814
20,0.9751111268997192,0.07194968312978745,1.0000001e-06,0.8889952301979065,0.3222772479057312
21,0.9762222170829773,0.0676572322845459,1.0000001e-06,0.8899521827697754,0.3264864981174469
22,0.972000002861023,0.07616395503282547,1.0000001e-06,0.8889952301979065,0.32324400544166565
23,0.9748888611793518,0.0650666281580925,1.0000001e-06,0.8889952301979065,0.3231368660926819
24,0.9702222347259521,0.08285730332136154,1e-06,0.8899521827697754,0.32570964097976685
25,0.9739999771118164,0.07152140885591507,1e-06,0.8889952301979065,0.3244897723197937
26,0.9737777709960938,0.07659051567316055,1e-06,0.8889952301979065,0.3211688697338104
27,0.9737777709960938,0.07399572432041168,1e-06,0.8899521827697754,0.31647729873657227
28,0.9695555567741394,0.07687222957611084,1e-06,0.8889952301979065,0.3184243142604828
29,0.9742222428321838,0.07350257784128189,1e-06,0.8889952301979065,0.3199087679386139
30,0.9739999771118164,0.06780295073986053,1e-06,0.8889952301979065,0.3221419155597687
31,0.9717777967453003,0.07366493344306946,1e-06,0.8889952301979065,0.32277125120162964
32,0.9753333330154419,0.06732036918401718,1e-06,0.8889952301979065,0.3190494775772095
33,0.9737777709960938,0.07315266877412796,1e-06,0.8889952301979065,0.3200439214706421
34,0.9744444489479065,0.07162678241729736,1e-06,0.8889952301979065,0.32940003275871277
35,0.9737777709960938,0.07571772485971451,1e-06,0.8861243724822998,0.33113670349121094
36,0.9711111187934875,0.0736803188920021,1e-06,0.8889952301979065,0.3274124264717102
37,0.975777804851532,0.06788937747478485,1e-06,0.8889952301979065,0.32295018434524536
38,0.9746666550636292,0.0697048157453537,1e-06,0.8889952301979065,0.32066771388053894
39,0.9733333587646484,0.07137177139520645,1e-06,0.8870813250541687,0.33330780267715454
40,0.9739999771118164,0.07628825306892395,1e-06,0.8889952301979065,0.3257042169570923
41,0.9764444231987,0.0725037008523941,1e-06,0.8889952301979065,0.31769633293151855
42,0.9713333249092102,0.07551956176757812,1e-06,0.8899521827697754,0.31295865774154663
43,0.9726666808128357,0.06972426921129227,1e-06,0.8889952301979065,0.31912580132484436
44,0.9724444150924683,0.07274440675973892,1e-06,0.8889952301979065,0.3195183277130127
45,0.97688889503479,0.06798582524061203,1e-06,0.8899521827697754,0.3106696605682373
46,0.9751111268997192,0.07273893803358078,1e-06,0.8899521827697754,0.30864420533180237
47,0.9753333330154419,0.07196123152971268,1e-06,0.8889952301979065,0.3220629096031189
48,0.9760000109672546,0.0667169839143753,1e-06,0.8842105269432068,0.3373575210571289
49,0.9764444231987,0.06558682024478912,1e-06,0.8889952301979065,0.32121220231056213
